alcohol,volatile acidity,sulphates,quality
9.4,0.7,0.56,5
9.8,0.88,0.68,5
9.8,0.76,0.65,5
9.8,0.28,0.58,6
9.4,0.7,0.56,5
9.4,0.66,0.56,5
9.4,0.6,0.46,5
10.0,0.65,0.47,7
9.5,0.58,0.57,7
9.2,0.58,0.54,5
9.9,0.615,0.52,5
9.1,0.61,1.56,5
10.5,0.28,0.75,7
9.2,0.32,1.08,6
9.7,0.39,0.65,5
9.5,0.43,0.91,5
9.4,0.49,0.53,5
9.7,0.4,0.63,6
9.3,0.39,0.56,5
9.5,0.41,0.59,5
9.4,0.71,0.55,5
9.8,0.645,0.59,6
10.1,0.675,0.54,5
9.8,0.655,0.66,5
9.2,0.32,0.55,5
9.6,0.645,0.55,6
10.8,0.6,0.6,6
9.7,0.38,0.73,7
10.5,0.45,0.83,5
9.3,0.61,0.51,4
10.5,0.49,0.9,6
10.3,0.66,1.2,5
13.1,0.52,0.56,4
9.2,0.935,0.73,5
9.2,0.66,0.74,5
9.4,0.52,0.63,6
9.4,0.5,0.64,6
9.4,0.38,0.56,5
10.2,0.51,0.63,6
9.6,0.42,0.63,5
10.0,0.59,0.59,5
9.4,0.39,0.54,6
9.2,0.4,0.64,5
9.3,0.69,0.71,5
9.8,0.735,0.57,5
10.9,0.725,0.39,5
10.9,0.725,0.39,5
10.7,0.705,0.58,5
10.5,0.705,0.95,6
9.5,0.69,0.48,5
9.2,0.675,0.53,4
10.5,0.41,0.66,5
10.7,0.785,0.55,6
10.1,0.75,0.52,5
9.1,0.625,1.12,4
9.2,0.45,0.56,5
9.1,0.5,0.57,5
10.3,0.3,0.78,6
10.1,0.55,0.59,5
9.9,0.49,1.95,6
9.6,0.49,0.64,5
9.5,0.39,1.22,5
9.0,0.62,0.53,5
9.5,0.52,0.54,5
9.9,0.49,1.95,6
9.6,0.49,0.64,5
10.5,1.02,0.48,4
10.7,0.775,0.56,5
9.8,0.9,0.56,5
9.0,0.545,0.59,6
10.2,0.61,0.61,6
9.0,0.545,0.59,6
9.2,0.575,0.51,5
9.4,0.49,0.48,5
9.2,0.575,0.51,5
9.3,0.41,1.31,5
9.3,0.63,0.79,5
9.5,0.56,0.93,5
9.8,0.62,0.66,5
